id,title,description,price,category,target_gender,material,country_of_origin,rating,review_count,color,size_options,returnable,discount_percent,stock_quantity,sku,brand,warranty_months,in_stock
145,Beard Oil,Argan oil and vitamin E beard oil for softening and growth 50ml,699,skincare,Men,NA,India,4.4,200,NA,NA,Yes,30,420,SKU-SKI-0145,Mamaearth,0,Yes
146,Scrub Coffee Body,Coffee and coconut oil body scrub for exfoliation 200g,799,skincare,Unisex,NA,India,4.5,150,NA,NA,Yes,15,17,SKU-SKI-0146,Mamaearth,0,Yes
147,Foot Cream,Urea 25% cracked heel foot cream with shea butter,499,skincare,Unisex,NA,India,4.4,180,NA,NA,Yes,25,478,SKU-SKI-0147,Himalaya,0,Yes
17,Electric Toothbrush,"Rechargeable sonic toothbrush with 3 modes, 2-min timer and travel case",2299,personal_care,Unisex,Plastic,China,4.6,150,White,NA,Yes,30,481,SKU-PER-0017,Dove,0,Yes
20,Perfume Set,Unisex long-lasting fragrance gift set with citrus and woody notes,1499,personal_care,Unisex,NA,France,4.5,100,NA,NA,Yes,30,347,SKU-PER-0020,Syska,0,Yes
148,Hair Dryer,2200W hair dryer with ionic technology and 3 heat settings,2499,personal_care,Women,Plastic,China,4.5,120,Pink,NA,Yes,10,86,SKU-PER-0148,Braun,0,Yes
149,Trimmer Cordless,Cordless beard trimmer with 40 length settings and 120min runtime,1799,personal_care,Men,Plastic+Steel,India,4.6,200,Black,NA,Yes,15,451,SKU-PER-0149,Philips,0,Yes
150,Epilator,Wet and dry epilator with massage cap and 24 tweezers,2999,personal_care,Women,Plastic,Germany,4.4,80,White,NA,Yes,30,245,SKU-PER-0150,Syska,0,Yes
151,Hair Straightener,Ceramic plates hair straightener with 230°C max heat,1599,personal_care,Women,Ceramic+Plastic,China,4.4,110,Rose Gold,NA,Yes,5,423,SKU-PER-0151,Gillette,0,Yes
152,Shaving Kit,5-blade shaving razor with precision trimmer and 8 cartridges,1299,personal_care,Men,Plastic+Steel,India,4.5,150,Blue,NA,Yes,10,161,SKU-PER-0152,Syska,0,Yes
153,Face Massager,T-shaped electric face massager with vibration mode,1199,personal_care,Unisex,Stainless Steel,China,4.4,130,Silver,NA,Yes,5,17,SKU-PER-0153,Syska,0,Yes
154,Nail Care Kit,Manicure and pedicure kit with 12 stainless steel tools in leather case,899,personal_care,Unisex,Steel,China,4.5,200,Silver,NA,Yes,15,173,SKU-PER-0154,VEGA,0,Yes
155,Weighing Scale Body,Digital body weighing scale with tempered glass platform,1299,personal_care,Unisex,Glass+Plastic,India,4.4,160,White,NA,Yes,30,40,SKU-PER-0155,VEGA,0,Yes
156,Nose Hair Trimmer,Painless dual-edge nose and ear hair trimmer,599,personal_care,Men,Stainless Steel,China,4.3,300,Silver,NA,Yes,10,333,SKU-PER-0156,Park Avenue,0,Yes
157,Hair Curler,28mm auto-rotating curling iron with ceramic coating,2199,personal_care,Women,Ceramic,China,4.4,90,Pink,NA,Yes,15,352,SKU-PER-0157,Park Avenue,0,Yes
158,Diffuser Aroma,100ml ultrasonic aroma diffuser with LED lights and auto shut-off,1499,personal_care,Unisex,Plastic,China,4.5,150,White,NA,Yes,10,485,SKU-PER-0158,Philips,0,Yes
159,Sanitizer Hand,500ml antibacterial gel hand sanitizer with aloe vera pack of 2,399,personal_care,Unisex,NA,India,4.3,500,Clear,NA,Yes,0,454,SKU-PER-0159,VEGA,0,Yes
160,Mouthwash Fresh,500ml fluoride mouthwash with anti-bacterial formula,399,personal_care,Unisex,NA,India,4.2,350,Blue,NA,Yes,5,302,SKU-PER-0160,VEGA,0,Yes
161,Shampoo Anti-Dandruff,Zinc pyrithione anti-dandruff shampoo with ketoconazole 200ml,499,personal_care,Unisex,NA,India,4.4,280,White,NA,Yes,0,60,SKU-PER-0161,Parachute,0,Yes
162,Conditioner Hair,Argan oil deep conditioning hair mask 200ml,599,personal_care,Unisex,NA,India,4.3,230,White,NA,Yes,15,181,SKU-PER-0162,Himalaya,0,Yes
163,Body Wash,Activated charcoal detox body wash with peppermint 300ml,599,personal_care,Unisex,NA,India,4.4,300,Black,NA,Yes,15,315,SKU-PER-0163,Park Avenue,0,Yes
164,Deodorant Roll-On,48hr protection roll-on deodorant with no aluminum chloride,299,personal_care,Unisex,NA,India,4.2,450,White,NA,Yes,0,202,SKU-PER-0164,Parachute,0,Yes
165,Cotton Swabs,Pack of 200 medical-grade cotton swabs in resealable pack,199,personal_care,Unisex,Cotton,India,4.3,600,White,NA,Yes,5,135,SKU-PER-0165,Philips,0,Yes
166,Yoga Mat,6mm thick TPE non-slip yoga mat with carrying strap,999,accessories,Unisex,TPE,India,4.5,200,Blue,NA,Yes,25,228,SKU-ACC-0166,Fossil,0,Yes
167,Resistance Bands Set,Set of 5 latex resistance bands with carry bag,799,accessories,Unisex,Latex,China,4.4,250,Multicolor,NA,Yes,20,478,SKU-ACC-0167,Wildcraft,0,Yes
168,Jump Rope,PVC skipping rope with ball-bearing handle and adjustable length,399,accessories,Unisex,PVC+Steel,China,4.3,400,Black,NA,Yes,25,373,SKU-ACC-0168,Safari,0,Yes
169,Water Bottle Insulated,750ml double-wall stainless steel insulated bottle 24hr cold,1299,accessories,Unisex,Steel,India,4.6,350,Silver,NA,Yes,10,225,SKU-ACC-0169,Hidesign,0,Yes
170,Lunch Box Insulated,1200ml thermal lunch box with 3 compartments,999,accessories,Unisex,Steel,India,4.5,280,Grey,NA,Yes,25,476,SKU-ACC-0170,Skybags,0,Yes
171,Desk Organizer,Bamboo 6-slot desk organizer with phone stand,699,furniture,Unisex,Bamboo,China,4.4,300,Natural,NA,Yes,20,165,SKU-FUR-0171,Godrej Interio,6,Yes
172,Monitor Riser,Solid wood monitor stand riser with 2 USB ports,1499,furniture,Unisex,Wood+USB,China,4.5,150,Walnut,NA,Yes,20,163,SKU-FUR-0172,HomeTown,6,Yes
173,Cable Management Box,Large cable management box with 6-outlet surge protector,1299,electronics,Unisex,Plastic,China,4.3,200,White,NA,Yes,15,361,SKU-ELE-0173,JBL,24,Yes
174,Surge Protector,6-outlet surge protector strip with 3 USB ports and 2m cord,999,electronics,Unisex,Plastic,India,4.5,350,White,NA,No,5,103,SKU-ELE-0174,HP,12,Yes
175,LED Desk Lamp,USB-powered LED desk lamp with 5 brightness levels and timer,999,home_appliance,Unisex,Aluminium,China,4.5,250,White,NA,Yes,25,388,SKU-HOM-0175,Bajaj,24,Yes
176,Candle Set Scented,Set of 4 soy wax scented candles with wooden wicks,1199,personal_care,Unisex,Soy Wax,India,4.6,150,Cream,NA,Yes,20,159,SKU-PER-0176,Dove,0,Yes
177,Incense Stick Set,Pack of 120 natural agarbatti with stand holder,299,personal_care,Unisex,Natural,India,4.4,500,NA,NA,Yes,20,431,SKU-PER-0177,Philips,0,Yes
178,Plant Pot Set,Set of 3 ceramic plant pots with drainage holes and saucers,999,home_appliance,Unisex,Ceramic,India,4.5,150,White,NA,Yes,10,151,SKU-HOM-0178,Crompton,12,Yes
179,Wall Clock Wooden,12-inch silent sweep wooden wall clock,1299,home_appliance,Unisex,Wood,India,4.4,120,Natural,NA,No,30,301,SKU-HOM-0179,IFB,6,Yes
180,Photo Frame Set,Set of 6 wall collage photo frames in black,899,home_appliance,Unisex,MDF,India,4.3,180,Black,NA,Yes,15,231,SKU-HOM-0180,Orient,3,Yes
181,Door Mat,Anti-skid microfiber bathroom and door mat 60x40cm,499,home_appliance,Unisex,Microfiber,India,4.4,350,Grey,NA,Yes,20,247,SKU-HOM-0181,Bajaj,0,Yes
182,Storage Basket Set,Set of 3 foldable fabric storage baskets with handles,1199,home_appliance,Unisex,Fabric,India,4.5,200,Beige,NA,Yes,10,268,SKU-HOM-0182,IFB,6,Yes
183,Towel Set 4-piece,100% cotton bath towel set of 4 with 600 GSM,1999,personal_care,Unisex,Cotton,India,4.6,120,White,NA,Yes,0,424,SKU-PER-0183,Syska,0,Yes
184,Bed Sheet King,King size 100% cotton bedsheet with 2 pillow covers,1799,home_appliance,Unisex,Cotton,India,4.5,150,White,NA,Yes,25,163,SKU-HOM-0184,Crompton,3,Yes
185,Cushion Cover Set,Set of 5 printed cushion covers 16x16 inch,699,home_appliance,Unisex,Polyester,India,4.3,300,Multicolor,NA,Yes,5,17,SKU-HOM-0185,Havells,3,Yes
186,Playing Cards,2-pack waterproof plastic playing cards with jumbo index,499,accessories,Unisex,Plastic,China,4.4,400,Red+Blue,NA,Yes,15,317,SKU-ACC-0186,Hidesign,0,Yes
187,Chess Set Wooden,Handcrafted wooden chess set with storage drawer,2499,accessories,Unisex,Wood,India,4.7,70,Natural,NA,No,15,217,SKU-ACC-0187,Fastrack,0,Yes
188,Sudoku Puzzle Book,500 sudoku puzzles in 5 difficulty levels,299,accessories,Unisex,Paper,India,4.2,200,NA,NA,Yes,5,372,SKU-ACC-0188,Peter Jones,0,Yes
189,Sticky Notes Set,Pack of 8 multi-color sticky note pads 76x76mm,399,accessories,Unisex,Paper,India,4.3,500,Multicolor,NA,Yes,15,209,SKU-ACC-0189,Safari,0,Yes
190,Pen Set Gel,12-piece gel pen set with 0.5mm tip in assorted colors,349,accessories,Unisex,Plastic,Japan,4.5,600,Multicolor,NA,Yes,5,340,SKU-ACC-0190,Fossil,0,Yes
191,Notebook Hardcover,A5 dot grid hardcover notebook 240 pages,599,accessories,Unisex,Paper,India,4.6,350,Black,NA,Yes,30,445,SKU-ACC-0191,Hidesign,0,Yes
192,Label Maker,Handheld QWERTY label maker with 3 tape cartridges,2499,electronics,Unisex,Plastic,China,4.4,80,White,NA,Yes,30,222,SKU-ELE-0192,Sony,3,Yes
193,Stapler Heavy Duty,Heavy-duty stapler for up to 60 sheets with 2000 staples,799,accessories,Unisex,Metal,India,4.5,200,Black,NA,Yes,30,495,SKU-ACC-0193,Wildcraft,0,Yes
194,File Organizer,A4 3-tier metal mesh file organizer for desktop,999,accessories,Unisex,Metal,China,4.4,180,Black,NA,Yes,15,30,SKU-ACC-0194,Wildcraft,0,Yes
195,Whiteboard Magnetic,60x45cm magnetic dry-erase whiteboard with marker and eraser,1999,accessories,Unisex,MDF+Steel,India,4.5,100,White,NA,No,5,474,SKU-ACC-0195,Hidesign,0,Yes
196,Calculator Scientific,240 function scientific calculator for students,799,electronics,Unisex,Plastic,Japan,4.7,300,Black,NA,Yes,15,73,SKU-ELE-0196,Realme,24,Yes
197,Drawing Kit,48-piece drawing and sketching kit with pencils and charcoal,1499,accessories,Unisex,Mixed,India,4.6,150,NA,NA,Yes,20,309,SKU-ACC-0197,Skybags,0,Yes
198,Acrylic Paint Set,24 color acrylic paint set with 3 brushes,999,accessories,Unisex,Acrylic,India,4.5,200,Multicolor,NA,Yes,30,461,SKU-ACC-0198,DailyObjects,0,Yes
199,Jigsaw Puzzle 1000pc,1000-piece nature landscape jigsaw puzzle,999,accessories,Unisex,Cardboard,India,4.6,120,Multicolor,NA,Yes,20,422,SKU-ACC-0199,Wildcraft,0,Yes
200,Board Game Family,Family board game with 4 player modes and dice,1299,accessories,Unisex,Cardboard+Plastic,India,4.5,100,Multicolor,NA,Yes,15,430,SKU-ACC-0200,Wildcraft,0,Yes
